"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X"
"1","Aruba","ABW","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"2","Africa Eastern and Southern","AFE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733897108375018,0.737499526476914,0.723456737645558,1.06248527632334,2.08404907147591,2.41542640796245,2.41744385927274,2.15804793557332,2.09764855414031,2.10225936925326,3.1574558003818,3.73152782369233,2.39545193005082,2.35774141980229,3.19838303638079,2.29050522355663,1.37110138667479,1.5468660267143,1.67783058628552,1.51996546612796,1.432162704204,1.43636173639663,1.03467441985502,1.04586209420681,1.38680264738014,1.23443502189331,1.01298769099891,0.79912950244968,0.537168459813721,0.71093435425713,1.34857029736939,0.84380056103207,0.780113660444861,1.9571071967915,1.3629302201476,1.31631626433214,1.63068626168783,3.37907907669816,1.11441831551495,1.72569487399106,1.93042521975379,1.33287194171402,1.04829360762948,0.772484226907403,0.580475447251759,0.678369850150856,0.830576685568249,0.996259726143407,0.711335359830557,0.642710814722939,NA,NA
"3","Afghanistan","AFG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0515118681579214,0.0870233499888856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00434596459082091,0.00742877685523963,0.0164647470509244,0.0109048985337024,0.0111500979096212,0.0764304436793042,0.224256029094819,0.126254875325353,0.212764254869903,0.492732777374243,0.271250833599429,0.242597637217459,0.226654361917562,0.168633703099671,0.245751221481888,0.400798952339048,0.545866583766561,0.332140150952389,0.26246452716074,NA,NA
"4","Africa Western and Central","AFW","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00426185950558094,0.00687026134794422,0.00650200807165133,0.00714062609003103,0.00889180186924461,0.00440252145943284,0.00636061640002088,0.00628492629620221,0.00406488385713827,0.079933562827568,0.0511384424307826,0.0663967680861347,0.100069540463704,0.0990136242586947,0.0861893990252428,0.066937305499449,0.178699451453243,0.182213537651453,0.246394725790217,0.20900503977939,0.210901926725756,0.186514445393519,0.181497921457735,0.175315626683263,0.174904668403132,0.157067056951432,0.149909334868607,0.129426148482982,0.088801390292047,0.0919758706724796,0.122322485803598,0.0929638359036411,0.0755102158948279,0.116580342908138,0.138248732945564,0.121282215941749,0.092529744231369,0.215020683393317,0.1098727537686,0.137439722768485,0.164245023042639,0.0816495548101954,0.0508484156830902,0.0361368111900396,0.0267074131079218,0.0313693081273757,0.042998771692837,0.0486191326173128,0.040088085677921,0.0299327535795494,NA,NA
"5","Angola","AGO","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"6","Albania","ALB","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.368325704156815,0.556625381988312,0.152296785525418,0.048179542902903,0.0768914986372058,0.0909233961034251,0.224522159849684,0.203804472534017,0.0669786853721167,0.00230365036031502,0.00150284438353918,0.00281494122041657,0.00171115776512977,0.000352537055216792,0.000770610517454721,0.000110313498830292,0.000620564950595544,0.00127713602947729,0.000274595038679376,0.000890335605964947,0.00682192485137433,0.00307771163016085,0.00293123638268126,0.00402977054962502,0.0139846077471781,0.000729539606622445,0.00139464620215877,0.000790052096077137,0.000359280475267684,0.000107660183084152,0,0.00595048390688231,0.000389405756995385,0.0156458724204607,0.0337302026362366,0.00783865421097073,0.00685633768500866,NA,NA
"7","Andorra","AND","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Arab World","ARB","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000690043856914883,0.000922899381928133,0.00129048455876645,0.00279070878833151,0.00743465685162968,0.00471730774162121,0.0041552736696971,0.00317348512125169,0.00290625592390758,0.0218279928778144,0.0267717426319823,0.0334033499212714,0.0363949196597272,0.0289756886138912,0.0260038774266436,0.0191063234457745,0.0125640065667513,0.00981517919847844,0.0143419135570834,0.0112195458795787,0.0143729439868598,0.0121486198575454,0.00937199492035728,0.00668862582709674,0.00843329948147489,0.00842335757745951,0.00774282006449331,0.00820504583363826,0.00539356481633816,0.0044814430752069,0.00572220038408318,0.00607510550953853,0.00488888110177064,0.00543469764856302,0.00932588761656082,0.00903076447408266,0.00549927872589329,0.0149043967988044,0.00977517622146363,0.0110687889764581,0.0136016697545498,0.00586506591813953,0.00416304817286667,0.00343304209451262,0.00250959733281167,0.0023598964133046,0.0033040431139487,0.00298726684311598,0.00230485595519984,0.00178494005956287,NA,NA
"9","United Arab Emirates","ARE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"10","Argentina","ARG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.00168445726182054,0.00882928416916987,0.01121061607848,0.00890416506099459,0.00537442144265313,0.00703696011906012,0.00648294671764725,0.0156023435172911,0.0160479891779686,0.00572358817304706,0.005000817914986,0.00456819539010827,0.00122438719187605,0,0.000184001984909,0.00225211209552717,0.000754506223325792,0.00053780832065564,0.000108588881303661,0,0,0.000114521503334402,1.41002207642243e-05,0,0,0,0,4.48743080935825e-05,0,1.62220058975574e-08,0.000530982366186512,0.000121892967908125,0.00040713358017752,0.000838821880141592,0.00171082923038152,0.000346002491747805,0.000526261216514188,0.000866081074366506,0.00055183142086573,0.000363155457904296,0.000212670018330611,8.64811000646153e-05,7.01636116772331e-05,6.93200830566919e-05,0.000305884224985161,9.53850008036771e-05,9.37168297664931e-05,NA,NA
